"unigram","bigram","trigram","freq"
"one","of","the",700
"a","lot","of",598
"thanks","for","the",486
"going","to","be",343
"to","be","a",341
"i","want","to",308
"it","was","a",303
"out","of","the",297
"some","of","the",286
"the","end","of",285
"as","well","as",282
"be","able","to",269
"part","of","the",250
"i","have","a",244
"i","dont","know",231
"looking","forward","to",217
"im","going","to",212
"thank","you","for",210
"the","first","time",210
"the","rest","of",205
"a","couple","of",204
"cant","wait","to",199
"i","have","to",198
"there","is","a",197
"this","is","a",194
"you","want","to",194
"end","of","the",186
"is","going","to",186
"i","need","to",176
"you","have","to",175
"for","the","follow",171
"the","fact","that",170
"for","the","first",168
"it","would","be",168
"you","have","a",168
"this","is","the",167
"i","love","you",165
"it","is","a",163
"at","the","end",162
"back","to","the",162
"in","the","first",161
"is","one","of",160
"one","of","my",158
"according","to","the",157
"dont","want","to",156
"i","wanted","to",156
"the","united","states",155
"i","dont","think",154
"most","of","the",153
"to","have","a",153
"in","order","to",152
"in","the","world",150
"if","you","are",149
"to","go","to",149
"have","a","great",148
"all","of","the",147
"of","the","day",147
"there","is","no",143
"i","had","to",142
"in","front","of",141
"to","make","a",140
"to","be","the",138
"i","have","been",137
"want","to","be",136
"when","i","was",135
"as","much","as",134
"it","will","be",131
"to","do","with",130
"to","see","the",130
"to","see","you",130
"of","the","year",129
"if","you","want",127
"a","bit","of",126
"are","going","to",126
"i","am","not",125
"rest","of","the",125
"have","to","be",124
"i","feel","like",124
"i","had","a",123
"i","think","i",123
"if","you","have",123
"there","was","a",123
"to","get","a",123
"was","going","to",122
"in","the","past",117
"we","have","a",115
"let","me","know",114
"at","the","time",113
"would","like","to",113
"one","of","those",112
"we","need","to",112
"go","to","the",111
"because","of","the",109
"in","the","same",109
"a","chance","to",108
"as","long","as",107
"do","you","think",107
"of","the","most",107
"i","will","be",104
"look","forward","to",104
"not","going","to",104
"of","the","world",104
"will","be","a",104
"you","need","to",103
"to","make","it",102
"i","dont","have",101
"at","the","same",100
"so","i","can",100
"was","one","of",100
"would","have","been",100
"i","wish","i",99
"a","little","bit",98
"to","do","it",98
"need","to","be",97
"to","be","in",97
"to","take","a",97
"if","you","dont",96
"to","get","the",96
"would","love","to",96
"and","it","was",95
"it","was","the",95
"when","it","comes",95
"all","the","time",94
"i","cant","wait",94
"i","dont","want",94
"we","have","to",94
"what","do","you",94
"as","part","of",93
"do","you","have",93
"dont","have","to",92
"i","decided","to",92
"i","was","a",92
"it","is","not",92
"side","of","the",92
"i","hope","you",91
"of","the","best",91
"the","same","time",91
"were","going","to",91
"in","the","s",90
"in","the","second",90
"for","the","rt",89
"to","make","the",89
"and","i","have",88
"i","am","a",88
"in","the","middle",88
"is","not","a",88
"wait","to","see",88
"you","for","the",88
"looking","for","a",87
"more","than","a",87
"and","i","was",86
"in","the","last",86
"in","the","us",86
"there","will","be",86
"would","be","a",86
"i","know","i",85
"is","in","the",84
"it","comes","to",84
"that","i","have",84
"the","number","of",84
"a","long","time",83
"for","me","to",83
"that","it","was",83
"that","would","be",83
"had","a","great",82
"has","been","a",82
"up","in","the",82
"for","a","while",81
"happy","mothers","day",81
"i","think","its",81
"to","make","sure",81
"of","my","life",80
"on","the","other",80
"the","top","of",80
"back","in","the",78
"needs","to","be",78
"a","number","of",77
"and","of","course",77
"the","university","of",77
"for","the","next",76
"in","the","morning",76
"look","at","the",76
"thanks","for","following",76
"that","i","am",76
"but","it","was",75
"i","am","so",75
"i","love","the",75
"is","a","great",75
"its","going","to",75
"many","of","the",75
"a","great","day",74
"a","series","of",74
"dont","know","what",74
"how","do","you",74
"in","my","life",74
"to","see","what",74
"trying","to","get",74
"will","be","the",74
"you","can","see",74
"a","part","of",73
"and","in","the",73
"in","addition","to",73
"is","the","best",73
"that","i","was",73
"there","was","no",73
"want","to","see",73
"cant","wait","for",72
"im","not","sure",72
"in","new","york",72
"out","in","the",72
"part","of","a",72
"that","it","is",72
"this","is","not",72
"to","be","able",72
"was","able","to",72
"was","in","the",72
"it","is","the",71
"i","think","that",70
"the","beginning","of",70
"up","to","the",70
"you","so","much",70
"a","group","of",69
"go","back","to",69
"going","to","have",69
"its","hard","to",69
"to","get","to",69
"a","way","to",68
"be","in","the",68
"i","know","that",68
"i","think","the",68
"it","in","the",68
"of","the","new",68
"of","the","season",68
"on","the","way",68
"over","the","past",68
"said","in","a",68
"to","look","at",68
"and","i","am",67
"as","a","result",67
"the","back","of",67
"wish","i","could",67
"at","a","time",66
"at","this","point",66
"but","i","dont",66
"i","miss","you",66
"i","would","have",66
"in","love","with",66
"it","can","be",66
"thought","it","was",66
"top","of","the",66
"what","to","do",66
"would","have","to",66
"all","over","the",65
"as","soon","as",65
"but","it","is",65
"he","was","a",65
"i","have","no",65
"is","the","only",65
"no","matter","what",65
"the","new","york",65
"to","all","the",65
"will","have","to",65
"you","dont","have",65
"a","lot","more",64
"be","sure","to",64
"but","i","think",64
"for","a","few",64
"i","went","to",64
"in","terms","of",64
"in","the","future",64
"of","the","time",64
"so","much","for",64
"that","i","can",64
"the","only","one",64
"to","find","out",64
"we","had","a",64
"when","he","was",64
"by","the","time",63
"by","the","way",63
"have","a","lot",63
"i","am","going",63
"i","would","be",63
"is","a","good",63
"over","the","years",63
"and","i","will",62
"away","from","the",62
"i","like","to",62
"i","think","it",62
"in","the","city",62
"in","the","united",62
"of","the","first",62
"said","he","was",62
"that","is","the",62
"that","was","a",62
"the","middle","of",62
"to","talk","about",62
"we","want","to",62
"you","know","what",62
"a","bunch","of",61
"a","piece","of",61
"a","variety","of",61
"check","it","out",61
"dont","know","how",61
"have","to","do",61
