"unigram","bigram","trigram","quadgram","freq"
"the","end","of","the",146
"thanks","for","the","follow",137
"at","the","end","of",126
"for","the","first","time",122
"the","rest","of","the",122
"is","one","of","the",88
"at","the","same","time",84
"when","it","comes","to",82
"cant","wait","to","see",81
"is","going","to","be",79
"thank","you","for","the",79
"if","you","want","to",72
"one","of","the","most",72
"to","be","able","to",72
"i","dont","want","to",70
"thanks","for","the","rt",68
"one","of","the","best",64
"going","to","be","a",62
"in","the","united","states",59
"i","am","going","to",56
"in","the","middle","of",56
"i","cant","wait","to",53
"its","going","to","be",49
"was","one","of","the",49
"have","a","lot","of",48
"i","would","like","to",47
"one","of","my","favorite",45
"the","top","of","the",45
"i","dont","know","what",44
"by","the","end","of",43
"for","the","rest","of",43
"i","was","going","to",42
"thank","you","so","much",42
"at","the","university","of",39
"have","a","great","weekend",39
"the","first","time","in",39
"as","well","as","the",38
"i","want","to","be",38
"i","wish","i","could",38
"on","the","other","hand",38
"will","be","able","to",38
"a","bit","of","a",37
"as","much","as","i",37
"have","a","great","day",37
"i","thought","it","was",37
"what","do","you","think",37
"as","a","result","of",36
"i","was","able","to",36
"on","my","way","to",36
"said","in","a","statement",36
"at","the","top","of",35
"going","to","have","to",35
"i","dont","know","if",35
"i","look","forward","to",35
"i","would","love","to",35
"the","bottom","of","the",35
"you","dont","have","to",35
"a","lot","of","people",34
"i","dont","know","how",34
"to","go","to","the",34
"hope","to","see","you",33
"in","front","of","the",33
"thanks","so","much","for",33
"was","going","to","be",33
"hope","you","have","a",32
"i","dont","have","to",32
"looking","forward","to","the",32
"a","member","of","the",31
"are","you","going","to",31
"end","of","the","day",31
"nothing","to","do","with",31
"the","middle","of","the",31
"a","little","bit","of",30
"at","the","beginning","of",30
"im","not","going","to",30
"in","the","second","half",30
"the","beginning","of","the",30
"to","do","with","the",30
"we","are","going","to",30
"you","dont","want","to",30
"happy","mothers","day","to",29
"i","just","want","to",29
"the","back","of","the",29
"as","part","of","a",28
"dont","want","to","be",28
"i","dont","know","why",28
"there","are","so","many",28
"as","part","of","the",27
"for","a","long","time",27
"for","the","most","part",27
"i","have","to","say",27
"in","the","first","place",27
"of","the","united","states",27
"take","a","look","at",27
"to","be","in","the",27
"to","get","back","to",27
"wait","to","see","you",27
"a","couple","of","weeks",26
"i","feel","like","i",26
"if","you","have","a",26
"to","get","out","of",26
"turned","out","to","be",26
"a","part","of","the",25
"as","one","of","the",25
"i","dont","think","i",25
"i","have","no","idea",25
"i","want","to","see",25
