"unigram","bigram","freq"
"of","the",8661
"in","the",8202
"to","the",4391
"for","the",4057
"on","the",3969
"to","be",3245
"at","the",2883
"and","the",2561
"in","a",2364
"with","the",2143
"is","a",2030
"for","a",1921
"it","was",1894
"i","was",1778
"from","the",1755
"i","have",1688
"it","is",1640
"with","a",1637
"of","a",1581
"and","i",1573
"going","to",1569
"will","be",1568
"i","am",1496
"have","a",1495
"is","the",1487
"if","you",1469
"one","of",1415
"as","a",1407
"to","get",1396
"want","to",1321
"by","the",1245
"have","to",1224
"i","dont",1213
"this","is",1211
"and","a",1209
"that","the",1197
"was","a",1190
"to","do",1155
"out","of",1123
"i","think",1117
"that","i",1117
"the","first",1117
"to","a",1109
"on","a",1049
"to","see",1042
"all","the",1020
"have","been",1005
"but","i",985
"i","love",981
"he","was",978
"you","can",978
"to","make",961
"the","same",957
"a","lot",950
"be","a",902
"thanks","for",901
"has","been",899
"you","are",893
"in","my",891
"of","my",874
"when","i",871
"would","be",865
"need","to",860
"as","the",857
"more","than",854
"you","have",854
"about","the",851
"i","can",848
"a","great",832
"i","had",824
"a","few",819
"a","little",813
"they","are",809
"to","have",799
"he","said",797
"i","know",792
"to","go",787
"we","are",766
"thank","you",757
"had","a",756
"the","best",746
"into","the",737
"a","good",729
"there","is",728
"that","is",727
"so","i",706
"the","new",704
"i","just",701
"the","most",697
"is","not",687
"we","have",677
"part","of",669
"do","you",666
"a","new",663
"back","to",660
"over","the",654
"there","are",647
"i","will",641
"like","a",640
"lot","of",639
"so","much",637
"the","world",636
"trying","to",634
"on","my",630
"and","then",627
"but","the",627
"i","would",616
"was","the",616
"all","of",600
"at","least",599
"the","way",599
"the","last",590
"you","know",578
"some","of",573
"at","a",571
"to","me",570
"able","to",566
"as","well",566
"are","you",564
"of","his",560
"its","a",551
"i","cant",549
"for","me",541
"i","want",538
"is","that",533
"when","you",529
"can","be",526
"the","other",526
"the","time",526
"go","to",525
"to","take",525
"and","it",522
"the","next",521
"in","this",518
"that","was",513
"that","he",512
"from","a",506
"if","i",506
"up","to",502
"im","not",498
"said","the",497
"time","to",497
"of","this",496
"right","now",495
"according","to",490
"this","year",490
"be","the",486
"should","be",485
"the","only",482
"and","that",476
"way","to",475
"they","were",474
"has","a",473
"of","course",472
"me","to",469
"in","his",468
"when","the",468
"what","i",465
"kind","of",464
"he","is",460
"had","to",455
"the","day",452
"to","my",450
"a","bit",446
"i","could",443
"get","a",440
"the","end",440
"but","it",438
"i","got",433
"the","state",427
"after","the",422
"like","to",421
"with","my",416
"as","i",415
"i","didnt",415
"of","our",413
"new","york",412
"that","it",412
"would","have",410
"through","the",408
"to","say",403
"wanted","to",403
"its","not",401
"i","feel",400
"for","you",399
"i","do",399
"i","hope",395
"which","is",395
"you","dont",395
"and","we",390
"i","need",388
"are","the",387
"this","week",384
"that","we",383
"how","to",382
"like","the",382
"dont","know",381
"that","you",381
"to","work",381
"last","year",380
"out","the",379
"there","was",377
"she","was",374
"said","he",373
"to","keep",373
"cant","wait",372
"not","a",371
"you","want",371
"during","the",368
"off","the",368
"we","can",368
"is","to",367
"that","they",365
"and","he",363
"into","a",363
"he","has",361
"i","really",360
"i","thought",360
"out","to",360
"end","of",358
"it","will",357
"such","as",357
"up","with",357
"what","you",357
"for","my",356
"she","said",356
"have","the",355
"the","city",355
"did","not",353
"it","would",353
"of","their",353
"they","have",352
"to","help",351
"because","of",350
"i","get",350
"when","he",350
"of","them",348
"such","a",348
"forward","to",347
"it","to",347
"to","find",346
"up","the",345
"and","his",343
"most","of",341
"the","us",340
"a","year",339
"had","been",339
"of","your",339
"not","to",338
"you","to",336
"and","other",335
"of","it",335
"if","the",334
"and","you",333
"by","a",331
"to","you",331
"a","very",329
"i","did",329
"the","past",328
"in","an",327
"in","and",326
"make","a",326
"up","and",326
"used","to",325
"and","its",324
"could","be",323
"i","like",322
"in","your",322
"look","at",322
"people","who",320
"to","come",320
"what","is",319
"the","second",318
"looking","for",317
"me","and",316
"it","and",315
"try","to",315
"we","were",315
"a","couple",314
"for","this",314
"know","what",314
"make","it",313
"do","not",311
"around","the",310
"because","i",310
"in","our",310
"of","those",309
"and","they",308
"love","you",307
"who","is",306
"a","big",305
"the","game",305
"get","to",304
"are","not",303
"of","us",303
"high","school",302
"the","top",302
"and","in",301
"and","my",300
"in","their",300
"to","know",300
"about","it",299
"it","has",299
"to","give",299
"see","the",298
"well","as",298
"the","house",297
"to","use",297
"do","it",296
"see","you",296
"before","the",291
"my","life",291
"of","her",291
"is","an",289
"not","the",289
"last","night",288
"take","a",288
"dont","have",287
"is","in",287
"with","his",287
"me","i",286
"of","all",286
"ive","been",285
"you","will",285
"the","one",284
"those","who",284
"get","the",282
"the","right",282
"been","a",281
"just","a",281
"of","you",281
"we","had",281
"it","in",280
"to","all",279
"to","play",278
"i","hate",277
"no","one",277
"years","ago",277
"and","to",276
"at","pm",275
"got","a",274
"when","they",274
"with","you",274
"he","had",272
"is","so",272
"up","in",272
"is","it",271
"you","and",271
"you","get",271
"on","this",270
"be","able",269
"last","week",269
"not","be",269
"know","that",268
"to","start",268
"did","you",267
"was","not",266
"does","not",265
"if","they",265
"may","be",265
"of","that",265
"that","would",265
"are","a",264
"for","all",264
"is","going",264
"when","it",264
"you","for",264
"a","long",262
"the","rest",261
"hard","to",260
"check","out",259
"ready","to",259
"them","to",259
"this","morning",259
"you","think",259
"come","to",258
"than","the",258
"on","his",256
"couple","of",255
"feel","like",255
"let","me",255
"number","of",255
"the","whole",255
"me","a",254
"be","in",253
"im","going",253
"of","an",253
"was","in",253
"in","that",252
"so","many",252
"who","are",252
"and","im",251
"we","will",250
"and","is",249
"back","in",249
"have","you",249
"went","to",249
"follow","me",248
"on","your",248
"she","is",248
"to","hear",248
"what","the",248
"is","one",247
"it","all",247
"might","be",247
"time","i",247
"as","it",246
"lots","of",246
"the","th",246
"instead","of",244
"is","no",244
"the","people",244
"at","all",243
"enough","to",243
"with","me",242
"time","for",241
"love","to",240
"you","guys",239
"first","time",238
"i","guess",238
"to","his",238
"you","do",238
"now","i",237
"for","your",236
"the","two",236
"what","a",236
"as","an",235
"down","the",234
"if","youre",234
"hope","you",233
"it","out",233
"after","a",232
"along","with",232
"for","an",232
"so","that",232
"decided","to",230
"a","day",229
"wait","to",229
"away","from",228
"how","much",228
"of","these",228
"got","to",227
"out","there",227
"too","much",226
"you","should",226
"i","wish",225
"who","was",225
"for","his",224
"looking","forward",224
"to","your",224
"but","he",223
"up","for",223
"i","saw",222
"if","it",222
"the","year",222
"against","the",221
"than","a",221
"thanks","to",221
"the","fact",221
"to","win",221
"what","they",221
"to","our",220
"and","not",219
"as","they",219
"for","it",218
"wants","to",218
"will","have",218
"my","own",217
"said","that",217
"up","on",217
"where","the",217
"that","a",216
"not","only",215
"st","louis",215
"that","are",215
"im","a",214
"of","its",214
"or","a",214
"it","i",213
"its","the",213
"needs","to",213
"rest","of",213
"when","we",213
"as","much",212
"of","what",212
"that","will",212
"up","a",212
"for","more",211
"having","a",211
"the","big",211
"under","the",211
"you","need",211
"many","of",210
"who","has",210
"about","a",209
"and","more",209
"based","on",209
"him","to",209
"is","my",209
"need","a",209
"about","to",208
"can","you",208
"each","other",208
"with","an",208
"and","have",207
"dont","want",207
"in","fact",207
"it","up",207
"must","be",207
"their","own",207
"to","it",207
"because","the",206
"i","wanted",206
"is","still",206
"that","has",206
"but","its",205
"to","look",205
"we","need",205
"and","she",204
"and","was",204
"then","i",204
"to","her",204
"was","just",204
"as","we",203
"ill","be",203
"is","just",203
"so","far",203
"the","company",203
"they","can",203
"dont","think",202
"in","which",202
"looks","like",202
"make","the",202
"this","time",202
"across","the",201
"make","sure",201
"of","people",201
"theres","a",201
"this","weekend",201
"us","to",201
"as","you",200
"but","im",200
"out","and",200
"so","we",200
"talking","about",200
"and","all",199
"on","their",199
"you","cant",199
"is","on",198
"think","i",198
"and","so",197
"the","s",197
"it","a",196
"like","that",196
"better","than",195
"im","so",195
"said","i",195
"the","case",195
"to","tell",195
"how","many",194
"to","this",194
"as","he",193
"at","this",193
"down","to",193
"with","her",193
"a","while",192
"bit","of",192
"my","favorite",192
"percent","of",192
"this","was",192
"could","have",191
"the","team",191
"this","one",191
"to","put",191
"listening","to",190
"said","it",190
"to","watch",190
"will","not",190
"and","what",189
"or","the",189
"the","story",189
"a","week",188
"with","your",188
"chance","to",187
"for","that",187
"get","it",187
"and","get",186
"do","i",186
"going","on",186
"where","i",186
"even","though",185
"time","and",185
"day","of",184
"have","no",184
"say","that",184
"there","were",184
"are","in",183
"at","home",183
"for","us",183
"i","went",183
"the","show",183
"you","in",183
"but","they",182
"people","are",182
"to","an",182
"to","try",182
"you","were",182
"a","time",181
"fact","that",181
"know","how",181
"that","she",181
"the","country",181
"the","final",181
"has","to",180
"in","new",180
"on","to",180
"the","united",180
"and","their",179
"but","not",179
"from","my",179
"i","still",179
"if","we",179
"out","in",179
"ready","for",179
"we","do",179
"what","we",179
"with","this",179
"all","that",178
"and","now",178
"even","if",178
"love","it",178
"that","this",178
"the","follow",178
"the","future",178
"had","the",177
"i","see",177
"it","on",177
"side","of",177
"but","we",176
"can","do",176
"can","get",176
"in","her",176
"my","mom",176
"should","have",176
"a","small",175
"in","order",175
"rather","than",175
"a","man",174
"because","they",174
"for","her",174
"the","book",174
"we","dont",174
"a","chance",173
"the","night",173
"the","season",173
"the","word",173
"a","huge",172
"for","our",172
"for","their",172
"i","used",172
"love","the",172
"may","have",172
"new","jersey",172
"working","on",172
"it","for",171
"just","got",171
"think","of",171
"tried","to",171
"you","a",171
"do","the",170
"have","an",170
"less","than",170
"like","i",170
"not","sure",170
"that","there",170
"the","back",170
"to","share",170
"two","years",170
"and","if",169
"on","it",169
"all","my",168
"are","so",168
"i","should",168
"much","more",168
"united","states",168
"due","to",167
"like","it",167
"out","for",167
"and","how",166
"i","mean",166
"is","what",166
"like","this",166
"the","national",166
"they","had",166
"to","meet",166
"to","pay",166
"to","stay",166
"with","it",166
"next","week",165
"said","in",165
"talk","about",165
"think","about",165
"are","going",164
"for","some",164
"no","longer",164
"tell","me",164
"to","their",164
"who","have",164
"all","i",163
"i","also",163
"i","miss",163
"is","now",163
"on","twitter",163
"supposed","to",163
"think","that",163
"and","her",162
"do","with",162
"front","of",162
"to","bring",162
"for","years",161
"it","doesnt",161
"much","of",161
"not","have",161
"or","not",161
"the","entire",161
"until","the",161
"was","an",161
"wish","i",161
"made","it",160
"off","to",160
"on","her",160
"she","has",160
"to","talk",160
"was","going",160
"with","that",160
"am","i",159
"order","to",159
"sense","of",159
"all","day",158
"any","of",158
"i","found",158
"its","been",158
"time","in",158
"to","buy",158
"to","create",158
"to","read",158
"and","one",157
"happy","birthday",157
"how","i",157
"i","knew",157
"much","as",157
"my","first",157
"one","day",157
"close","to",156
"do","that",156
"he","will",156
"mothers","day",156
"since","the",156
"to","stop",156
"waiting","for",156
"we","all",156
"you","could",156
"you","like",156
"of","life",155
"of","time",155
"the","third",155
"they","dont",155
"to","think",155
"a","better",154
"and","for",154
"it","the",154
"top","of",154
"would","like",154
"at","am",153
"but","that",153
"full","of",153
"if","he",153
"in","all",153
"in","front",153
"in","its",153
"in","to",153
"is","also",153
"it","but",153
"listen","to",153
"talk","to",153
"the","middle",153
"and","when",152
"he","did",152
"made","a",152
"of","me",152
"take","the",152
"thats","a",152
"to","that",152
"know","i",151
"makes","me",151
"my","new",151
"what","it",151
"you","just",151
"and","some",150
"and","will",150
"find","a",150
"for","those",150
"good","luck",150
"here","is",150
"just","as",150
"the","idea",150
"they","will",150
"would","not",150
"you","see",150
"a","month",149
"a","way",149
"all","over",149
"he","would",149
"me","that",149
"on","that",149
"sort","of",149
"tell","you",149
"the","old",149
"to","follow",149
"i","always",148
"is","this",148
"something","that",148
"the","man",148
"the","more",148
"a","nice",147
"amount","of",147
"because","it",147
"but","you",147
"it","can",147
"the","road",147
"why","i",147
"with","all",147
"came","to",146
"continue","to",146
"day","and",146
"it","just",146
"look","like",146
"looking","at",146
"see","what",146
"the","great",146
"they","would",146
"to","live",146
"told","me",146
"was","so",146
"what","are",146
"at","my",145
"here","in",145
"now","that",145
"thats","what",145
"when","she",145
"who","had",145
"and","as",144
"be","on",144
"between","the",144
"years","of",144
"i","never",143
"in","it",143
"me","the",143
"people","in",143
"the","point",143
"the","school",143
"to","show",143
"him","and",142
"i","started",142
"next","to",142
"seems","to",142
"the","public",142
"to","sleep",142
"your","own",142
"and","there",141
"me","in",141
"you","all",141
"before","i",140
"interested","in",140
"no","matter",140
"the","biggest",140
"what","do",140
"his","own",139
"how","do",139
"this","season",139
"to","move",139
"wait","for",139
"can","i",138
"seem","to",138
"that","my",138
"with","their",138
"and","even",137
"can","see",137
"know","if",137
"life","and",137
"made","the",137
"my","mind",137
"not","just",137
"thats","the",137
"the","kids",137
"to","learn",137
"i","made",136
"know","the",136
"only","one",136
"that","its",136
"that","one",136
"to","him",136
"while","the",136
"about","how",135
"and","this",135
"day","i",135
"good","morning",135
"has","the",135
"have","any",135
"it","wasnt",135
"lack","of",135
"on","our",135
"so","the",135
"theres","no",135
"were","not",135
"being","a",134
"day","to",134
"excited","to",134
"i","havent",134
"in","one",134
"is","about",134
"next","year",134
"out","a",134
"the","car",134
"with","us",134
"am","not",133
"but","if",133
"director","of",133
"i","said",133
"of","new",133
"on","saturday",133
"out","with",133
"use","the",133
"when","a",133
"an","hour",132
"and","has",132
"and","make",132
"i","decided",132
"them","in",132
"what","to",132
"expected","to",131
"got","the",131
"i","felt",131
"live","in",131
"miss","you",131
"opportunity","to",131
"plenty","of",131
"the","bottom",131
"the","good",131
"told","the",131
"what","he",131
"where","he",131
"a","bad",130
"a","whole",130
"about","this",130
"for","them",130
"group","of",130
"may","not",130
"my","friend",130
"that","can",130
"version","of",130
"a","woman",129
"and","thats",129
"but","when",129
"me","know",129
"out","on",129
"them","and",129
"we","got",129
"which","was",129
"you","would",129
"and","an",128
"be","an",128
"be","there",128
"im","in",128
"is","your",128
"life","is",128
"that","have",128
"the","process",128
"the","sun",128
"well","i",128
"back","and",127
"but","in",127
"dont","get",127
"for","example",127
"its","just",127
"likely","to",127
"los","angeles",127
"made","me",127
"not","going",127
"on","friday",127
"the","government",127
"which","i",127
"with","some",127
"year","and",127
"a","game",126
"every","day",126
"how","the",126
"it","with",126
"needed","to",126
"piece","of",126
"she","had",126
"to","change",126
"a","second",125
"a","single",125
"because","he",125
"deal","with",125
"for","him",125
"hope","to",125
"i","couldnt",125
"it","seems",125
"long","as",125
"my","head",125
"out","that",125
"people","to",125
"the","family",125
"the","weekend",125
"to","run",125
"where","you",125
"would","love",125
"a","different",124
"and","had",124
"any","other",124
"did","i",124
"down","and",124
"his","first",124
"im","just",124
"that","if",124
"to","eat",124
"to","leave",124
"to","write",124
"your","life",124
"as","if",123
"happy","to",123
"in","some",123
"it","comes",123
"know","it",123
"more","of",123
"all","about",122
"do","a",122
"he","says",122
"home","and",122
"known","as",122
"set","up",122
"things","that",122
"willing","to",122
"a","place",121
"along","the",121
"among","the",121
"do","this",121
"have","some",121
"her","to",121
"here","and",121
"one","that",121
"san","francisco",121
"the","ground",121
"think","the",121
"you","so",121
"after","all",120
"didnt","know",120
"i","believe",120
"see","it",120
"the","number",120
"the","week",120
"would","you",120
"dont","like",119
"find","out",119
"it","does",119
"my","heart",119
"so","you",119
"the","beginning",119
"the","truth",119
"the","work",119
"was","one",119
"way","of",119
"at","me",118
"but","this",118
"easy","to",118
"good","to",118
"have","had",118
"is","good",118
"just","like",118
"many","people",118
"said","she",118
"the","real",118
"work","on",118
"a","friend",117
"about","what",117
"and","no",117
"and","of",117
"comes","to",117
"im","sure",117
"is","more",117
"long","time",117
"since","i",117
"the","bill",117
"the","film",117
"the","home",117
"the","states",117
"think","its",117
"thousands","of",117
"through","a",117
"up","at",117
"us","and",117
"a","large",116
"come","back",116
"in","love",116
"said","they",116
"the","university",116
"the","very",116
"these","are",116
"to","let",116
"within","the",116
"and","are",115
"and","your",115
"could","not",115
"go","back",115
"i","go",115
"i","look",115
"might","have",115
"that","im",115
